,,,under tree,under tree,under tree,under tree,open,open,open,open,open,open,,,,,
,,DEPTHS( cm),5,5,10,20,5,10,20,70,100,130,,,,,
Year,DOY,precip (mm),vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,averageShallow,averageDeep,shallowMinusDeep,maxAirTemp,minAirTemp
2015,114,0,0.04328955,0.045774578,0.047153639,0.039233037,0.031321518,0.0294144,0.078399561,0.070082961,0.059929476,0.053176473,0.044940898,0.06106297,-0.016122072,22.26,7.092
2015,115,0,0.042046242,0.044500136,0.045379951,0.039285941,0.030354379,0.028067601,0.078032383,0.069655999,0.05961717,0.053277401,0.043952376,0.06085019,-0.016897814,25.26,7.89
2015,116,1.778,0.041476151,0.043355397,0.043664743,0.039180785,0.041796953,0.037887242,0.077036154,0.069297431,0.059455162,0.053249045,0.046342489,0.060667213,-0.014324724,20.33,7.823
2015,117,0,0.042036183,0.04285208,0.042670238,0.039245468,0.041923722,0.038292643,0.077132406,0.068963984,0.059140257,0.053275061,0.046307534,0.060459767,-0.014152233,24.86,7.697
2015,118,0,0.040566824,0.041891245,0.04172667,0.038994805,0.0349596,0.031437706,0.076516366,0.068624492,0.058762284,0.053304182,0.043727602,0.060230319,-0.016502717,26.95,13.97
2015,119,0,0.038816733,0.040752003,0.040483303,0.038758339,0.029597733,0.026117986,0.075810861,0.068294589,0.058366403,0.053334822,0.041476709,0.059998605,-0.018521896,29.03,16.58
2015,120,0,0.037095991,0.039399638,0.03869083,0.038471923,0.027101185,0.02339689,0.075098627,0.067915005,0.058066906,0.053314484,0.039893583,0.059765465,-0.019871882,32.83,17.64
2015,121,0,0.035593492,0.037893917,0.036689466,0.038189558,0.02585243,0.021642521,0.074152036,0.067516436,0.057712558,0.053291103,0.038573346,0.059506699,-0.020933354,33.43,15.57
2015,122,0,0.034624636,0.036514822,0.034855594,0.03794809,0.025138664,0.020676933,0.073020022,0.067167967,0.057471551,0.053301106,0.037539823,0.059313542,-0.021773719,32.53,15.61
2015,123,0,0.034267437,0.035453576,0.033510211,0.037755756,0.026561482,0.020999898,0.071602424,0.066869891,0.05723837,0.053245603,0.037164398,0.059117955,-0.021953557,28.91,14.39
2015,124,3.81,0.034638727,0.034885303,0.032893091,0.037543081,0.029967459,0.024062524,0.070638565,0.066549665,0.057091078,0.053250997,0.037804107,0.058963913,-0.021159806,25.63,12.89
2015,125,0.762,0.036498946,0.035213505,0.033252485,0.037502377,0.058026811,0.05384257,0.070121534,0.066301594,0.05686917,0.053318379,0.046351176,0.058829714,-0.012478539,25.06,9.93
2015,126,0,0.037926343,0.035581991,0.034027047,0.03744399,0.051406093,0.048451936,0.070346738,0.066003652,0.056623965,0.053364591,0.045026305,0.05866407,-0.013637764,27.08,11.94
2015,127,0,0.038117338,0.035580917,0.034354916,0.037203407,0.043247048,0.042478085,0.070224593,0.065661327,0.056413587,0.053372952,0.043029472,0.058482622,-0.01545315,25.58,12.45
2015,128,0,0.037306137,0.035256266,0.033945512,0.037034764,0.03689537,0.036987381,0.070100081,0.065385617,0.056271383,0.053378889,0.041075073,0.058345296,-0.017270223,22.67,9.11
2015,129,0,0.036848773,0.035022969,0.033303411,0.036959339,0.033428645,0.0323199,0.070187228,0.065190353,0.056096314,0.053363016,0.039724324,0.058216561,-0.018492238,21.34,4.13
2015,130,0,0.036129732,0.034500491,0.03279692,0.036846887,0.030458675,0.02827894,0.07025999,0.064948911,0.055883045,0.053347145,0.038467376,0.0580597,-0.019592324,24.89,8.09
2015,131,0,0.034930281,0.033661159,0.03210023,0.036681224,0.028233277,0.025308264,0.070109178,0.064690792,0.05568261,0.053339027,0.037289087,0.057904143,-0.020615056,29.83,12.9
2015,132,0,0.034532545,0.033132583,0.031459278,0.036471647,0.030130099,0.025041806,0.069578788,0.064517075,0.055562266,0.053324247,0.037192392,0.057801196,-0.020608804,24.1,13.37
2015,133,0,0.034627427,0.033044147,0.031225302,0.036497491,0.028181474,0.024521534,0.070016184,0.064285126,0.055427471,0.053330139,0.036873366,0.057680912,-0.020807546,28.98,10.2
2015,134,0,0.033800393,0.032228552,0.030538121,0.036131337,0.026783438,0.022623257,0.0692484,0.064014629,0.055149001,0.053308327,0.035907643,0.057490652,-0.02158301,26.95,15.93
2015,135,0,0.034025293,0.031960068,0.03030521,0.035931297,0.028020696,0.022671729,0.068359175,0.063783137,0.054972499,0.053308862,0.03589621,0.057354833,-0.021458623,21.68,13.12
2015,136,5.588,0.054019446,0.068768927,0.039123096,0.035846292,0.053367378,0.048322502,0.067809045,0.063591629,0.054898957,0.053282577,0.052465241,0.057257721,-0.00479248,22.31,9.07
2015,137,0,0.053889074,0.063295814,0.042028028,0.035760217,0.050058723,0.046826173,0.068002064,0.063417253,0.054813414,0.053279084,0.051408585,0.057169917,-0.005761332,28.13,10.87
2015,138,0,0.051136929,0.056015505,0.041926662,0.035569197,0.041002908,0.040815722,0.068029353,0.063288046,0.054686462,0.053283061,0.047785182,0.057085856,-0.009300674,29.24,11.37
